trace_id,dataset,device_selected,raw_records_read,records_accepted,blocks_emitted,block_requests,write_blocks,read_blocks,write_percentage,multi_block_requests,unaligned_requests,unique_lbas,unique_written_lbas,lba_min,lba_max,lba_span,total_bytes,mean_request_size_bytes,duration_seconds,rewrite_events,rewrite_ratio,lbas_written_more_than_once,repeated_write_lba_fraction,max_writes_to_single_lba,top1pct_lba_write_share,median_rewrite_interval_us,mean_rewrite_interval_us,p90_rewrite_interval_us,p99_rewrite_interval_us,dropped_total,dropped_malformed,dropped_bad_offset,dropped_bad_size,dropped_oversized_request,dropped_unknown_operation,dropped_other_device,out_of_order_records,duplicate_timestamps,truncated_by_limit,eligible,ineligible_reasons,normalized_path
msr_hm_0,msr,hm_0,3000000,3000000,6815630,6815630,4534090,2281540,66.52488471351877,651292,635756,603876,421475,6,3654084,3654079,24790653440,8263.551146666667,431555.821853,4112615,0.9070430891314464,348684,0.827294620084228,109129,0.4252626216065406,802338855.0,15314460953.035349,29727879318.4,224353805877.0,0,0,0,0,0,0,0,0,4188357,True,True,,data/processed/normalized/msr_hm_0.csv
msr_mds_0,msr,mds_0,1211034,1211034,2916662,2916662,2052937,863725,70.3865240470099,373196,61400,818174,86930,4,8890908,8890905,11403751424,9416.54109133187,604803.410067,1966007,0.9576557877811156,61886,0.7119061313700679,117036,0.6199289116032299,60000382.0,11911979576.934256,20639314326.400013,237651197220.0,0,0,0,0,0,0,0,0,1748413,False,True,,data/processed/normalized/msr_mds_0.csv
msr_prn_0,msr,prn_0,3000000,3000000,8179783,8179783,6734351,1445432,82.32921337888793,683819,1156891,1502619,1189391,4,17386419,17386416,28525076480,9508.358826666668,354712.320967,5544960,0.8233844657042676,207360,0.1743413225760073,101932,0.5448037977230471,90015207.0,7119270166.475632,13594415072.0,201075395683.0,0,0,0,0,0,0,0,0,7449738,True,True,,data/processed/normalized/msr_prn_0.csv
msr_proj_0,msr,proj_0,3000000,3000000,26929740,26929740,25011110,1918630,92.87542323097068,2169600,121526,820587,420969,4,4257215,4257212,109625602048,36541.86734933333,479706.992372,24590141,0.9831687198209116,365860,0.869090123025686,88299,0.1730166713912337,57812430.0,1657843286.9333155,569069617.0,45759741649.0,0,0,0,0,0,0,0,0,24026911,True,True,,data/processed/normalized/msr_proj_0.csv
msr_prxy_0,msr,prxy_0,3000000,3000000,4616349,4616349,4441793,174556,96.21874342689428,413248,1821427,111673,84585,6,5430031,5430026,11243907584,3747.969194666666,143846.016582,4357208,0.980957014430884,65383,0.7729857539752911,34884,0.7267585409765831,19890371.0,855074350.8182813,160638572.0,19220533217.0,0,0,0,0,0,0,0,0,1733734,True,True,,data/processed/normalized/msr_prxy_0.csv
msr_rsrch_0,msr,rsrch_0,1433655,1433655,3254278,3254278,2889165,365113,88.78052213117626,435987,23092,93773,75878,142,4427953,4427812,13109630464,9144.20168311065,604796.172615,2813287,0.9737370485936248,54624,0.7198924589472574,125991,0.5444676922224934,60109135.0,7847778386.301527,11272941837.0,171652126329.16345,0,0,0,0,0,0,0,0,2030535,False,True,,data/processed/normalized/msr_rsrch_0.csv
msr_src2_0,msr,src2_0,1557814,1557814,2999229,2999229,2625937,373292,87.55373464313662,476829,114880,187918,130219,0,4096508,4096509,11495121408,7379.007640193245,698876.763923,2495718,0.9504104630080616,95890,0.7363748761701442,125880,0.6315288599840743,59998286.0,9070720765.109253,24038715191.0,113636162682.16034,0,0,0,0,0,0,0,0,1770155,False,True,,data/processed/normalized/msr_src2_0.csv
msr_stg_0,msr,stg_0,2030915,2030915,6098667,6098667,4161669,1936998,68.23899386538075,650411,104090,1668913,102899,4,2835133,2835130,24073370624,11853.46044713836,604793.463589,4058770,0.9752745833462488,75028,0.7291421685341937,140946,0.4346787310571792,2090967636.0,6253373664.627852,9244550943.0,98262261439.0,0,0,0,0,0,0,0,0,4295307,False,True,,data/processed/normalized/msr_stg_0.csv
msr_ts_0,msr,ts_0,1801734,1801734,4216457,4216457,3124896,1091561,74.11189062286181,569703,91268,239289,140985,9323,5760047,5750725,16611923968,9219.964749513523,698982.911135,2983911,0.9548832985161746,76687,0.5439372982941447,130688,0.5630219373700757,60013766.0,7418625752.528501,9265731948.0,136678258717.0,0,0,0,0,0,0,0,0,2506466,False,True,,data/processed/normalized/msr_ts_0.csv
msr_usr_0,msr,usr_0,2237889,2237889,12873274,12873274,3585523,9287751,27.85245618169861,1211103,133686,646969,169331,4,4169381,4169378,51945009664,23211.61132835453,604795.435782,3416192,0.9527736957760417,142343,0.8406198510609398,119570,0.6046760821224686,60008265.0,10170689718.678944,22538356704.0,186324973870.0,0,0,0,0,0,0,0,0,10958541,False,True,,data/processed/normalized/msr_usr_0.csv
