target_trace,dataset,approach,family,model_type,pretrained_on,pretrain_trace_count,finetuned_on,finetune_portion,finetune_samples,test_portion,sequence_length,train_samples,val_samples,test_samples,training_seconds,parameter_count,test_mae_us,test_rmse_us,test_median_abs_error_us,test_mae_log1p,hot_threshold_us,hot_threshold_source,accuracy,precision,recall,f1,roc_auc,true_positives,false_positives,true_negatives,false_negatives,actual_hot_fraction,predicted_hot_fraction,checkpoint,seed
msr_rsrch_0,msr,1. Baseline: last_interval,baseline,last_interval,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22501,22499,0.0,0,147515999.66558513,1125051333.6838465,19984296.0,8.275931993184752,80.0,"target training split, p30",0.4781990310680474,0.0894271075919888,0.0892884824058285,0.0893577412348743,0.3206175343138157,576,5865,10183,5875,0.2867238543935286,0.2862793901951198,,42
msr_rsrch_0,msr,1. Baseline: mean_interval,baseline,mean_interval,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22501,22499,0.0,0,98444919.4471332,773834128.9032176,11999906.0,4.660397918150167,80.0,"target training split, p30",0.7147873238810614,0.9722222222222222,0.0054255154239652,0.0107908123940188,0.6093479801256593,35,1,16047,6416,0.2867238543935286,0.0016000711142717,,42
msr_rsrch_0,msr,1. Baseline: median_interval,baseline,median_interval,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22501,22499,0.0,0,81324630.44788657,797309131.480383,8999903.0,4.317582462048461,80.0,"target training split, p30",0.7309213742833015,0.6238303181534622,0.1550147263990079,0.2483238142537869,0.6606693106620304,1000,603,15445,5451,0.2867238543935286,0.0712476110049335,,42
msr_rsrch_0,msr,1. Baseline: moving_average_3,baseline,moving_average_3,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22501,22499,0.0,0,117363860.73567714,854421727.8372972,13999956.0,4.790889971756533,80.0,"target training split, p30",0.7155429130183564,0.8148148148148148,0.0102309719423345,0.0202082057562767,0.4973597122521754,66,15,16033,6385,0.2867238543935286,0.0036001600071114,,42
msr_rsrch_0,msr,1. Baseline: ema_0.5,baseline,ema_0.5,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22501,22499,0.0,0,118448961.41105989,882910616.743999,14549939.562093318,4.821463150180881,80.0,"target training split, p30",0.7153206809191519,0.96,0.0074407068671523,0.0147669589293954,0.4837954648687638,48,2,16046,6403,0.2867238543935286,0.002222320992044,,42
msr_rsrch_0,msr,2. LSTM from scratch (target only),lstm,scratch,none,0,msr_rsrch_0 (training split only),first 70% of the trace,105000,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22501,22499,529.5320000000065,50497,73700828.97952843,773057649.5390259,2883663.3842252977,1.042567485986208,80.0,training split of this model's own training data,0.9291079603537936,0.9196335983408228,0.824833359169121,0.8696575958159679,0.9789228124416088,5321,465,15583,1130,0.2867238543935286,0.2571669851993421,models/finetuned/scratch__msr_rsrch_0.pt,42
msr_rsrch_0,msr,"3. Pretrained MSR LSTM, no fine-tuning",lstm,pretrained,"msr_hm_0, msr_mds_0, msr_prn_0, msr_proj_0, msr_prxy_0, msr_stg_0, msr_ts_0, msr_usr_0, msr_wdev_0, msr_web_0",10,none - applied unchanged,,105000,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22501,22499,0.0,50497,70564234.32100539,775308641.3537846,1510724.6499642655,1.006902177797827,80.0,training split of this model's own training data,0.919107515889595,0.9236962488563586,0.7825143388621919,0.8472641826116146,0.9822105629321924,5048,417,15631,1403,0.2867238543935286,0.2428996844304191,models/finetuned/pretrained__msr_rsrch_0.pt,42
msr_rsrch_0,msr,4. Pretrained MSR LSTM + target fine-tuning,lstm,pretrained_finetuned,"msr_hm_0, msr_mds_0, msr_prn_0, msr_proj_0, msr_prxy_0, msr_stg_0, msr_ts_0, msr_usr_0, msr_wdev_0, msr_web_0",10,msr_rsrch_0 (training split only),first 70% of the trace,105000,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22501,22499,713.875,50497,70487141.80612342,770871762.7782791,1412292.0334149674,0.9507358360197437,80.0,training split of this model's own training data,0.9406640295124228,0.9194817973105937,0.8691675709192374,0.8936170212765958,0.9813445698016784,5607,491,15557,844,0.2867238543935286,0.2710342681896973,models/finetuned/pretrained_finetuned__msr_rsrch_0.pt,42
msr_src2_0,msr,1. Baseline: last_interval,baseline,last_interval,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22500,22500,0.0,0,194183214.02951112,852487108.7998917,38967619.5,9.652236252867878,60.0,"target training split, p30",0.4585333333333333,0.071930360415394,0.0716131975064619,0.0717714285714285,0.2858837026536718,471,6077,9846,6106,0.2923111111111111,0.2910222222222222,,42
msr_src2_0,msr,1. Baseline: mean_interval,baseline,mean_interval,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22500,22500,0.0,0,142085789.79242444,589484445.9265884,23645382.75,5.351514517081959,60.0,"target training split, p30",0.7076888888888889,0.0,0.0,0.0,0.5835878994634462,0,0,15923,6577,0.2923111111111111,0.0,,42
msr_src2_0,msr,1. Baseline: median_interval,baseline,median_interval,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22500,22500,0.0,0,105435155.91208889,599196592.1157897,11901963.75,5.0188093488761325,60.0,"target training split, p30",0.7254222222222222,0.6521739130434783,0.1299984795499467,0.2167849898580121,0.6483544119324973,855,456,15467,5722,0.2923111111111111,0.0582666666666666,,42
msr_src2_0,msr,1. Baseline: moving_average_3,baseline,moving_average_3,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22500,22500,0.0,0,155398808.03813332,666027438.3855456,30009523.5,5.5030370448618005,60.0,"target training split, p30",0.7062222222222222,0.0,0.0,0.0,0.4732886058935883,0,33,15890,6577,0.2923111111111111,0.0014666666666666,,42
msr_src2_0,msr,1. Baseline: ema_0.5,baseline,ema_0.5,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22500,22500,0.0,0,153342026.7926408,650471376.0985714,33549624.262420904,5.513022606654192,60.0,"target training split, p30",0.7076888888888889,0.0,0.0,0.0,0.4599575303342104,0,0,15923,6577,0.2923111111111111,0.0,,42
msr_src2_0,msr,2. LSTM from scratch (target only),lstm,scratch,none,0,msr_src2_0 (training split only),first 70% of the trace,105000,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22500,22500,487.1089999999968,50497,96846511.94084395,585140913.2493156,2222985.638043101,1.0575708864886486,60.0,training split of this model's own training data,0.9164888888888888,0.932756079587325,0.7698038619431352,0.843481882548938,0.9806085516592696,5063,365,15558,1514,0.2923111111111111,0.2412444444444444,models/finetuned/scratch__msr_src2_0.pt,42
msr_src2_0,msr,"3. Pretrained MSR LSTM, no fine-tuning",lstm,pretrained,"msr_hm_0, msr_mds_0, msr_prn_0, msr_proj_0, msr_prxy_0, msr_stg_0, msr_ts_0, msr_usr_0, msr_wdev_0, msr_web_0",10,none - applied unchanged,,105000,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22500,22500,0.0,50497,94292772.14072518,592029701.5325328,2142344.9117564857,1.20819277623225,60.0,training split of this model's own training data,0.9086666666666666,0.927895533686601,0.7454766610916831,0.8267431076637719,0.9788132212714316,4903,381,15542,1674,0.2923111111111111,0.2348444444444444,models/finetuned/pretrained__msr_src2_0.pt,42
msr_src2_0,msr,4. Pretrained MSR LSTM + target fine-tuning,lstm,pretrained_finetuned,"msr_hm_0, msr_mds_0, msr_prn_0, msr_proj_0, msr_prxy_0, msr_stg_0, msr_ts_0, msr_usr_0, msr_wdev_0, msr_web_0",10,msr_src2_0 (training split only),first 70% of the trace,105000,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105000,22500,22500,362.8280000000086,50497,91220866.6471124,586625235.7271336,2326937.281278655,0.9734853112634734,60.0,training split of this model's own training data,0.9393777777777778,0.9049246543420848,0.8856621559981754,0.8951897956047334,0.9801900769774748,5825,612,15311,752,0.2923111111111111,0.2860888888888889,models/finetuned/pretrained_finetuned__msr_src2_0.pt,42
systor_lun0,systor,1. Baseline: last_interval,baseline,last_interval,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105001,22509,22490,0.0,0,19673367.56740774,51539834.1120861,5053699.0,2.5055016949787072,274668.0,"target training split, p30",0.7430858159181859,0.4416763229045963,0.4420177812137611,0.4418469860896445,0.6555676056062604,2287,2891,14425,2887,0.2300578034682081,0.2302356602934637,,42
systor_lun0,systor,1. Baseline: mean_interval,baseline,mean_interval,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105001,22509,22490,0.0,0,20199530.273119163,38439383.29089362,5941332.800000001,2.156513806700841,274668.0,"target training split, p30",0.7775455758114718,0.9090909090909092,0.0367220718979512,0.0705926063533345,0.705653352275888,190,19,17297,4984,0.2300578034682081,0.0092930191196087,,42
systor_lun0,systor,1. Baseline: median_interval,baseline,median_interval,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105001,22509,22490,0.0,0,15353657.258892842,39678240.20737872,3920112.0,1.8262393821989853,274668.0,"target training split, p30",0.8112939084037349,0.624198717948718,0.4516814843448009,0.5241085445167077,0.8533046181384025,2337,1407,15909,2837,0.2300578034682081,0.1664739884393063,,42
systor_lun0,systor,1. Baseline: moving_average_3,baseline,moving_average_3,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105001,22509,22490,0.0,0,16772666.226930486,37445260.21071771,4466765.5,2.110397545436835,274668.0,"target training split, p30",0.7796353935082259,0.5770862800565771,0.1577116350985697,0.2477231329690346,0.6292044810115935,816,598,16718,4358,0.2300578034682081,0.062872387727879,,42
systor_lun0,systor,1. Baseline: ema_0.5,baseline,ema_0.5,none,0,none (no training of any kind),,0,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105001,22509,22490,0.0,0,17302541.027839694,40033171.50804804,4752484.340118256,2.058232793408553,274668.0,"target training split, p30",0.7883948421520676,0.7577639751552795,0.1178971781986857,0.2040474995818699,0.6522016221716647,610,195,17121,4564,0.2300578034682081,0.0357936860827034,,42
systor_lun0,systor,2. LSTM from scratch (target only),lstm,scratch,none,0,systor_lun0 (training split only),first 70% of the trace,105001,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105001,22509,22490,496.0779999999795,50497,11744917.419432228,33364783.278432496,3322947.7084825337,1.1170490222336822,274668.0,training split of this model's own training data,0.9072921298354824,0.8007789678675754,0.7947429454967143,0.7977495392375593,0.961100754273348,4112,1023,16293,1062,0.2300578034682081,0.2283236994219653,models/finetuned/scratch__systor_lun0.pt,42
systor_lun0,systor,"3. Pretrained MSR LSTM, no fine-tuning",lstm,pretrained,"msr_hm_0, msr_mds_0, msr_prn_0, msr_proj_0, msr_prxy_0, msr_stg_0, msr_ts_0, msr_usr_0, msr_wdev_0, msr_web_0",10,none - applied unchanged,,105001,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105001,22509,22490,0.0,50497,13615228.704124715,38874552.13519676,3665042.658612963,1.3613989448337354,274668.0,training split of this model's own training data,0.8760337927967986,0.7221601489757914,0.749516814843448,0.7355842185128982,0.931867148213302,3878,1492,15824,1296,0.2300578034682081,0.2387727879057359,models/finetuned/pretrained__systor_lun0.pt,42
systor_lun0,systor,4. Pretrained MSR LSTM + target fine-tuning,lstm,pretrained_finetuned,"msr_hm_0, msr_mds_0, msr_prn_0, msr_proj_0, msr_prxy_0, msr_stg_0, msr_ts_0, msr_usr_0, msr_wdev_0, msr_web_0",10,systor_lun0 (training split only),first 70% of the trace,105001,"final 15% of the trace, chronologically after the 70% train and 15% validation splits",20,105001,22509,22490,1650.030999999988,50497,11436712.7879712,33754339.25129535,2801443.703115411,1.107215275023875,274668.0,training split of this model's own training data,0.9084037349933304,0.7966844512195121,0.8080788558175492,0.8023412013049318,0.960273736389894,4181,1067,16249,993,0.2300578034682081,0.2333481547354379,models/finetuned/pretrained_finetuned__systor_lun0.pt,42
