dataset,trace,policy,model_type,total_segments,blocks_per_segment,block_size_bytes,gc_reserved_segments,gc_separate_stream,target_utilization,seed,total_write_requests,logical_bytes_written,physical_bytes_written,gc_bytes_copied,valid_blocks_migrated,gc_count,main_stream_writes,cold_stream_writes,unpredicted_writes,waf
msr,msr_rsrch_0,MIXED,none,1024,64,4096,2,1,0.699692,42,1000000,4096000000,5026254848,930254848,227113,18152,1000000,0,1000000,1.227113
msr,msr_rsrch_0,RULE_BASED,rule,1024,64,4096,2,1,0.699692,42,1000000,4096000000,4381310976,285310976,69656,15693,602084,397916,449013,1.069656
msr,msr_rsrch_0,LSTM_SMARTGC,scratch,1024,64,4096,2,1,0.699692,42,1000000,4096000000,4387160064,291160064,71084,15715,586643,413357,453869,1.071084
msr,msr_rsrch_0,LSTM_SMARTGC,pretrained,1024,64,4096,2,1,0.699692,42,1000000,4096000000,4366786560,270786560,66110,15637,576079,423921,453869,1.066110
msr,msr_rsrch_0,LSTM_SMARTGC,pretrained_finetuned,1024,64,4096,2,1,0.699692,42,1000000,4096000000,4419645440,323645440,79015,15839,595619,404381,453869,1.079015
msr,msr_rsrch_0,MIXED,none,896,64,4096,2,1,0.799648,42,1000000,4096000000,5816692736,1720692736,420091,21295,1000000,0,1000000,1.420091
msr,msr_rsrch_0,RULE_BASED,rule,896,64,4096,2,1,0.799648,42,1000000,4096000000,5269069824,1173069824,286394,19207,602084,397916,449013,1.286394
msr,msr_rsrch_0,LSTM_SMARTGC,scratch,896,64,4096,2,1,0.799648,42,1000000,4096000000,5292011520,1196011520,291995,19295,586643,413357,453869,1.291995
msr,msr_rsrch_0,LSTM_SMARTGC,pretrained,896,64,4096,2,1,0.799648,42,1000000,4096000000,5139025920,1043025920,254645,18711,576079,423921,453869,1.254645
msr,msr_rsrch_0,LSTM_SMARTGC,pretrained_finetuned,896,64,4096,2,1,0.799648,42,1000000,4096000000,5380980736,1284980736,313716,19634,595619,404381,453869,1.313716
msr,msr_rsrch_0,MIXED,none,843,64,4096,2,1,0.849922,42,1000000,4096000000,6506061824,2410061824,588394,23978,1000000,0,1000000,1.588394
msr,msr_rsrch_0,RULE_BASED,rule,843,64,4096,2,1,0.849922,42,1000000,4096000000,6262882304,2166882304,529024,23051,602084,397916,449013,1.529024
msr,msr_rsrch_0,LSTM_SMARTGC,scratch,843,64,4096,2,1,0.849922,42,1000000,4096000000,6244728832,2148728832,524592,22982,586643,413357,453869,1.524592
msr,msr_rsrch_0,LSTM_SMARTGC,pretrained,843,64,4096,2,1,0.849922,42,1000000,4096000000,6169501696,2073501696,506226,22695,576079,423921,453869,1.506226
msr,msr_rsrch_0,LSTM_SMARTGC,pretrained_finetuned,843,64,4096,2,1,0.849922,42,1000000,4096000000,6311104512,2215104512,540797,23235,595619,404381,453869,1.540797
msr,msr_src2_0,MIXED,none,1012,64,4096,2,1,0.699404,42,1000000,4096000000,4909584384,813584384,198629,17719,1000000,0,1000000,1.198629
msr,msr_src2_0,RULE_BASED,rule,1012,64,4096,2,1,0.699404,42,1000000,4096000000,4579467264,483467264,118034,16461,520817,479183,327695,1.118034
msr,msr_src2_0,LSTM_SMARTGC,scratch,1012,64,4096,2,1,0.699404,42,1000000,4096000000,4507693056,411693056,100511,16187,488133,511867,349040,1.100511
msr,msr_src2_0,LSTM_SMARTGC,pretrained,1012,64,4096,2,1,0.699404,42,1000000,4096000000,4518834176,422834176,103231,16229,482209,517791,349040,1.103231
msr,msr_src2_0,LSTM_SMARTGC,pretrained_finetuned,1012,64,4096,2,1,0.699404,42,1000000,4096000000,4615217152,519217152,126762,16597,515338,484662,349040,1.126762
msr,msr_src2_0,MIXED,none,885,64,4096,2,1,0.799770,42,1000000,4096000000,5341569024,1245569024,304094,19494,1000000,0,1000000,1.304094
msr,msr_src2_0,RULE_BASED,rule,885,64,4096,2,1,0.799770,42,1000000,4096000000,5250875392,1154875392,281952,19149,520817,479183,327695,1.281952
msr,msr_src2_0,LSTM_SMARTGC,scratch,885,64,4096,2,1,0.799770,42,1000000,4096000000,5198311424,1102311424,269119,18948,488133,511867,349040,1.269119
msr,msr_src2_0,LSTM_SMARTGC,pretrained,885,64,4096,2,1,0.799770,42,1000000,4096000000,5184847872,1088847872,265832,18897,482209,517791,349040,1.265832
msr,msr_src2_0,LSTM_SMARTGC,pretrained_finetuned,885,64,4096,2,1,0.799770,42,1000000,4096000000,5296783360,1200783360,293160,19324,515338,484662,349040,1.293160
msr,msr_src2_0,MIXED,none,833,64,4096,2,1,0.849696,42,1000000,4096000000,5802459136,1706459136,416616,21304,1000000,0,1000000,1.416616
msr,msr_src2_0,RULE_BASED,rule,833,64,4096,2,1,0.849696,42,1000000,4096000000,5762134016,1666134016,406771,21151,520817,479183,327695,1.406771
msr,msr_src2_0,LSTM_SMARTGC,scratch,833,64,4096,2,1,0.849696,42,1000000,4096000000,5693243392,1597243392,389952,20888,488133,511867,349040,1.389952
msr,msr_src2_0,LSTM_SMARTGC,pretrained,833,64,4096,2,1,0.849696,42,1000000,4096000000,5688942592,1592942592,388902,20872,482209,517791,349040,1.388902
msr,msr_src2_0,LSTM_SMARTGC,pretrained_finetuned,833,64,4096,2,1,0.849696,42,1000000,4096000000,5809287168,1713287168,418283,21331,515338,484662,349040,1.418283
systor,systor_lun0,MIXED,none,9462,64,4096,2,1,0.699926,42,1000000,4096000000,4323893248,227893248,55638,7035,1000000,0,1000000,1.055638
systor,systor_lun0,RULE_BASED,rule,9462,64,4096,2,1,0.699926,42,1000000,4096000000,4258086912,162086912,39572,6785,792375,207625,707396,1.039572
systor,systor_lun0,LSTM_SMARTGC,scratch,9462,64,4096,2,1,0.699926,42,1000000,4096000000,4242112512,146112512,35672,6724,784578,215422,707396,1.035672
systor,systor_lun0,LSTM_SMARTGC,pretrained,9462,64,4096,2,1,0.699926,42,1000000,4096000000,4244357120,148357120,36220,6732,789079,210921,707396,1.036220
systor,systor_lun0,LSTM_SMARTGC,pretrained_finetuned,9462,64,4096,2,1,0.699926,42,1000000,4096000000,4244455424,148455424,36244,6733,786990,213010,707396,1.036244
systor,systor_lun0,MIXED,none,8279,64,4096,2,1,0.799940,42,1000000,4096000000,4524228608,428228608,104548,8982,1000000,0,1000000,1.104548
systor,systor_lun0,RULE_BASED,rule,8279,64,4096,2,1,0.799940,42,1000000,4096000000,4504281088,408281088,99678,8907,792375,207625,707396,1.099678
systor,systor_lun0,LSTM_SMARTGC,scratch,8279,64,4096,2,1,0.799940,42,1000000,4096000000,4490248192,394248192,96252,8853,784578,215422,707396,1.096252
systor,systor_lun0,LSTM_SMARTGC,pretrained,8279,64,4096,2,1,0.799940,42,1000000,4096000000,4496818176,400818176,97856,8878,789079,210921,707396,1.097856
systor,systor_lun0,LSTM_SMARTGC,pretrained_finetuned,8279,64,4096,2,1,0.799940,42,1000000,4096000000,4493062144,397062144,96939,8864,786990,213010,707396,1.096939
systor,systor_lun0,MIXED,none,7792,64,4096,2,1,0.849936,42,1000000,4096000000,4692574208,596574208,145648,10111,1000000,0,1000000,1.145648
systor,systor_lun0,RULE_BASED,rule,7792,64,4096,2,1,0.849936,42,1000000,4096000000,4699394048,603394048,147313,10138,792375,207625,707396,1.147313
systor,systor_lun0,LSTM_SMARTGC,scratch,7792,64,4096,2,1,0.849936,42,1000000,4096000000,4691488768,595488768,145383,10108,784578,215422,707396,1.145383
systor,systor_lun0,LSTM_SMARTGC,pretrained,7792,64,4096,2,1,0.849936,42,1000000,4096000000,4695699456,599699456,146411,10124,789079,210921,707396,1.146411
systor,systor_lun0,LSTM_SMARTGC,pretrained_finetuned,7792,64,4096,2,1,0.849936,42,1000000,4096000000,4692516864,596516864,145634,10112,786990,213010,707396,1.145634
