contract_version,run_id,workload_name,placement_policy,total_segments,blocks_per_segment,logical_bytes_written,physical_bytes_written,gc_bytes_copied,valid_blocks_migrated,gc_count,waf,migration_stream_count,learned_trigger_enabled,avg_gc_decision_latency_us,gc_migrated_p50,gc_migrated_p95,gc_migrated_p99,predicted_writes,confidence_fallbacks,confidence_fallback_rate
2,09c125f67d80,synthetic_zipf,MIXED,32,64,20480000,21594112,1114112,272,53,1.054400,1,0,0.000,5.000,7.000,7.000,0,0,0.000000
2,e56ecd08376a,synthetic_zipf,RULE_BASED,32,64,20480000,21360640,880640,215,53,1.043000,2,0,0.000,5.000,7.000,7.480,0,0,0.000000
2,0962c7eb86d8,synthetic_zipf,SUP_LIKE,32,64,20480000,21557248,1077248,263,55,1.052600,2,0,0.000,5.000,6.000,6.000,0,0,0.000000
2,09ae1cc89950,synthetic_zipf,STAT_ML,32,64,20480000,21479424,999424,244,55,1.048800,2,0,0.000,5.000,7.000,7.000,5000,476,0.095200
2,e6647fb72413,synthetic_zipf,LSTM_SMARTGC,32,64,20480000,21438464,958464,234,54,1.046800,2,0,0.000,5.000,6.000,6.000,5000,476,0.095200
2,31194c1c66a1,synthetic_zipf,LSTM_ATTN_SMARTGC,32,64,20480000,20627456,147456,36,52,1.007200,3,0,0.000,0.000,3.000,4.000,5000,476,0.095200
2,0780e2186c31,synthetic_zipf,LSTM_ATTN_SMARTGC,32,64,20480000,20627456,147456,36,52,1.007200,3,1,0.000,0.000,3.000,4.000,5000,476,0.095200
2,09e60165d36a,financial1,MIXED,2139,64,1178435584,1533755392,355319808,86748,3714,1.301518,1,0,0.000,25.000,34.000,35.000,0,0,0.000000
2,5bae011681cc,financial1,RULE_BASED,2139,64,1178435584,1399902208,221466624,54069,3206,1.187933,2,0,0.580,16.000,28.000,30.000,0,0,0.000000
2,afe494bda734,financial1,SUP_LIKE,2139,64,1178435584,1404518400,226082816,55196,3223,1.191850,2,0,0.000,18.000,22.000,23.000,0,0,0.000000
2,fbfda89297a0,financial1,STAT_ML,2139,64,1178435584,1439191040,260755456,63661,3355,1.221273,2,0,0.000,19.000,27.000,28.000,287704,89942,0.312620
2,dca497793550,financial1,LSTM_SMARTGC,2139,64,1178435584,1435754496,257318912,62822,3342,1.218356,2,0,0.184,19.000,27.000,28.000,287704,92115,0.320173
2,c410b0c231a4,financial1,LSTM_ATTN_SMARTGC,2139,64,1178435584,1464283136,285847552,69787,3453,1.242565,3,0,0.689,20.000,31.000,31.000,287704,90537,0.314688
2,55424c4561cb,financial1,LSTM_ATTN_SMARTGC,2139,64,1178435584,1464283136,285847552,69787,3453,1.242565,3,1,2.283,20.000,31.000,31.000,287704,90537,0.314688
2,73f0536c8baa,synthetic_drift,LSTM_ATTN_SMARTGC,32,64,20480000,20893696,413696,101,53,1.020200,3,0,0.000,2.000,5.000,5.480,5000,431,0.086200
2,1e4c6aa73d94,synthetic_drift,LSTM_ATTN_SMARTGC,32,64,20480000,20893696,413696,101,53,1.020200,3,1,0.000,2.000,5.000,5.480,5000,431,0.086200
