seed,placement_policy,waf
42,MIXED,1.0544
42,RULE_BASED,1.043
42,SUP_LIKE,1.0526
42,STAT_ML,1.0488
42,LSTM_SMARTGC,1.0468
42,LSTM_ATTN_SMARTGC,1.0072
42,HYBRID_ROBUST_SMARTGC,1.0386
43,MIXED,1.059
43,RULE_BASED,1.0458
43,SUP_LIKE,1.0552
43,STAT_ML,1.0564
43,LSTM_SMARTGC,1.0608
43,LSTM_ATTN_SMARTGC,1.0386
43,HYBRID_ROBUST_SMARTGC,1.039
44,MIXED,1.053
44,RULE_BASED,1.047
44,SUP_LIKE,1.051
44,STAT_ML,1.0464
44,LSTM_SMARTGC,1.0478
44,LSTM_ATTN_SMARTGC,1.0102
44,HYBRID_ROBUST_SMARTGC,1.0476
45,MIXED,1.0604
45,RULE_BASED,1.051
45,SUP_LIKE,1.0596
45,STAT_ML,1.0546
45,LSTM_SMARTGC,1.0572
45,LSTM_ATTN_SMARTGC,1.0224
45,HYBRID_ROBUST_SMARTGC,1.0438
46,MIXED,1.0604
46,RULE_BASED,1.0474
46,SUP_LIKE,1.0574
46,STAT_ML,1.0488
46,LSTM_SMARTGC,1.02
46,LSTM_ATTN_SMARTGC,1.0182
46,HYBRID_ROBUST_SMARTGC,1.0354
