trace,predictor,family,hot_threshold_us,n,accuracy,precision,recall,f1,roc_auc,true_positives,false_positives,true_negatives,false_negatives,actual_hot_fraction,predicted_hot_fraction
msr_rsrch_0,scratch,lstm,84.0,22499,0.9355971376505623,0.9174296078770081,0.8454313912766634,0.8799602352746251,0.9792839952775944,5311,478,15739,971,0.2792124094404196,0.25730032445886486
msr_rsrch_0,pretrained,lstm,80.0,22499,0.919107515889595,0.9236962488563586,0.7825143388621919,0.8472641826116146,0.9822105629321924,5048,417,15631,1403,0.2867238543935286,0.24289968443041912
msr_rsrch_0,pretrained_finetuned,lstm,80.0,22499,0.9406640295124228,0.9194817973105937,0.8691675709192374,0.8936170212765958,0.9813445698016784,5607,491,15557,844,0.2867238543935286,0.27103426818969734
msr_rsrch_0,last_interval,baseline,84.0,22499,0.4917107426996755,0.08978032473734479,0.08978032473734479,0.08978032473734479,0.33858568652149024,564,5718,10499,5718,0.2792124094404196,0.2792124094404196
msr_rsrch_0,mean_interval,baseline,84.0,22499,0.7230099115516245,0.9629629629629629,0.008277618592804839,0.016414141414141416,0.6177904799867179,52,2,16215,6230,0.2792124094404196,0.0024001066714076182
msr_rsrch_0,median_interval,baseline,84.0,22499,0.7355438019467532,0.6111111111111112,0.14533588029290034,0.23482510288065844,0.6576420016436975,913,581,15636,5369,0.2792124094404196,0.06640295124227744
msr_rsrch_0,moving_average_3,baseline,84.0,22499,0.7233654829103515,0.8020833333333334,0.012257242916268705,0.02414550015678896,0.5156621934874548,77,19,16198,6205,0.2792124094404196,0.004266856304724655
msr_rsrch_0,ema_0.5,baseline,84.0,22499,0.7231876972309881,0.9655172413793104,0.008914358484559057,0.017665615141955835,0.5036154728696762,56,2,16215,6226,0.2792124094404196,0.0025778923507711452
msr_src2_0,scratch,lstm,62.0,22500,0.9315111111111111,0.9235845779784647,0.8284779560679234,0.8734499466206783,0.9816383096948084,5318,440,15641,1101,0.28528888888888887,0.2559111111111111
msr_src2_0,pretrained,lstm,60.0,22500,0.9086666666666666,0.927895533686601,0.7454766610916831,0.8267431076637719,0.9788132212714316,4903,381,15542,1674,0.29231111111111113,0.23484444444444444
msr_src2_0,pretrained_finetuned,lstm,60.0,22500,0.9393777777777778,0.9049246543420848,0.8856621559981754,0.8951897956047334,0.9801900769774747,5825,612,15311,752,0.29231111111111113,0.2860888888888889
msr_src2_0,last_interval,baseline,62.0,22500,0.47044444444444444,0.06954887218045112,0.06916965259386197,0.0693587440443646,0.3111063461742145,444,5940,10141,5975,0.28528888888888887,0.28373333333333334
msr_src2_0,mean_interval,baseline,62.0,22500,0.7147111111111111,0.0,0.0,0.0,0.5998592923294663,0,0,16081,6419,0.28528888888888887,0.0
msr_src2_0,median_interval,baseline,62.0,22500,0.7298666666666667,0.6426778242677824,0.11964480448668016,0.20173364854215917,0.6499708027999203,768,427,15654,5651,0.28528888888888887,0.05311111111111111
msr_src2_0,moving_average_3,baseline,62.0,22500,0.7132444444444445,0.0,0.0,0.0,0.49145816359517147,0,33,16048,6419,0.28528888888888887,0.0014666666666666667
msr_src2_0,ema_0.5,baseline,62.0,22500,0.7147111111111111,0.0,0.0,0.0,0.4780417021288056,0,0,16081,6419,0.28528888888888887,0.0
systor_lun0,scratch,lstm,1280490.699999998,22498,0.880522713130056,0.7453048251950304,0.8479618671926364,0.7933261571582346,0.9476316380389826,5159,1763,14651,925,0.2704240376922393,0.30767179304827097
systor_lun0,pretrained,lstm,274668.0,22490,0.8760337927967986,0.7221601489757914,0.749516814843448,0.7355842185128982,0.9318671482133021,3878,1492,15824,1296,0.2300578034682081,0.2387727879057359
systor_lun0,pretrained_finetuned,lstm,274668.0,22490,0.9084037349933304,0.7966844512195121,0.8080788558175492,0.8023412013049318,0.9602737363898941,4181,1067,16249,993,0.2300578034682081,0.23334815473543796
systor_lun0,last_interval,baseline,1280490.699999998,22498,0.7053515868077163,0.4552618617632573,0.45578566732412884,0.45552361396303903,0.6499693739737417,2773,3318,13096,3311,0.2704240376922393,0.2707351764601298
systor_lun0,mean_interval,baseline,1280490.699999998,22498,0.7567783803004712,0.6924528301886792,0.1809664694280079,0.2869429241594996,0.6807087357555532,1101,489,15925,4983,0.2704240376922393,0.07067294870655169
systor_lun0,median_interval,baseline,1280490.699999998,22498,0.7931816161436572,0.6392294220665499,0.5399408284023669,0.5854049719326384,0.838890093541962,3285,1854,14560,2799,0.2704240376922393,0.22842030402702462
systor_lun0,moving_average_3,baseline,1280490.699999998,22498,0.7510889856876167,0.593944099378882,0.2514792899408284,0.3533487297921478,0.6461380915347277,1530,1046,15368,4554,0.2704240376922393,0.11449906658369632
systor_lun0,ema_0.5,baseline,1280490.699999998,22498,0.755044892879367,0.637410071942446,0.21844181459566075,0.3253764230627984,0.6648598673043097,1329,756,15658,4755,0.2704240376922393,0.09267490443594986
